Unnamed: 0,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,Ensembl_ID,GeneSymbol
ENSG00000000005.6,100.642201068462,2.65466262711023,0.47221297178055,5.62174862986172,1.89034189248775e-08,1.32979765375618e-05,ENSG00000000005,TNMD
ENSG00000002726.21,123.355080824927,2.0083787964525,0.379831955682736,5.28754562749337,1.23968445012654e-07,5.34149037448275e-05,ENSG00000002726,AOC1
ENSG00000004776.13,351.095279339193,1.83179937748134,0.402324021131457,4.55304501165444,5.28749543654447e-06,0.0009141598386098,ENSG00000004776,HSPB6
ENSG00000004846.16,56.3582728406927,1.58306261437489,0.431347045492229,3.67004394934105,0.0002425087698307,0.0129400577338501,ENSG00000004846,ABCB5
ENSG00000005073.6,62.5555825772882,1.05322658129356,0.312555924863533,3.36972201615892,0.0007524404904426,0.0263323815781981,ENSG00000005073,HOXA11
ENSG00000007933.13,251.918166661335,1.37576008244915,0.289949390687325,4.74482832741227,2.08683241429089e-06,0.0004860345494635,ENSG00000007933,FMO3
ENSG00000008056.14,118.138684719807,1.53277583398993,0.311772578418703,4.91632664349156,8.81832147392037e-07,0.0002512128439719,ENSG00000008056,SYN1
ENSG00000008438.5,3.00076239850254,1.45147885205717,0.414530166367429,3.50150355709122,0.0004626407954594,0.0194241513026654,ENSG00000008438,PGLYRP1
ENSG00000009709.12,117.207227230365,3.495369682147,0.7533916790757,4.63951192882208,3.49232978135695e-06,0.000693989546562,ENSG00000009709,PAX7
ENSG00000011677.13,50.5879646592723,3.22256066341014,0.66641965986832,4.83563264632214,1.32722833179897e-06,0.000333938398519,ENSG00000011677,GABRA3
ENSG00000018625.15,593.233598563223,1.78422018708327,0.438412539330787,4.06972891287915,4.70678728749534e-05,0.0043035267320945,ENSG00000018625,ATP1A2
ENSG00000019169.10,453.908521112007,1.33669940601103,0.430602656597584,3.10425257608252,0.0019076040573108,0.0472718273583781,ENSG00000019169,MARCO
ENSG00000019186.10,99.151575424335,2.23982606829793,0.487692879451787,4.59269791024161,4.37552225488274e-06,0.000800417866396,ENSG00000019186,CYP24A1
ENSG00000022267.19,6293.45458272012,1.78434833620563,0.36802685401479,4.84841884971232,1.24449420683923e-06,0.000320132203804,ENSG00000022267,FHL1
ENSG00000023839.12,135.677357258478,1.01027568300963,0.311118586769936,3.247236667852,0.0011653144438644,0.0350997996028858,ENSG00000023839,ABCC2
ENSG00000034971.17,73.2695336767664,3.90634137004441,0.675882512040728,5.77961598421861,7.48713237498846e-09,6.97517440448249e-06,ENSG00000034971,MYOC
ENSG00000036565.15,7.96761485719585,2.20068798064863,0.451109397853849,4.87839089834616,1.06954797715419e-06,0.0002902867425807,ENSG00000036565,SLC18A1
ENSG00000042062.13,410.991669633902,1.00230687983829,0.269054518686784,3.72529286900815,0.0001950885891057,0.0112078394441274,ENSG00000042062,RIPOR3
ENSG00000043591.6,97.9501489973215,1.74774749250932,0.421536528268725,4.14613532945157,3.38134023734288e-05,0.0035001440835198,ENSG00000043591,ADRB1
ENSG00000046774.10,26.1183484742628,3.76912147736329,1.04624053116571,3.60253819756319,0.000315125076249,0.015429841002675,ENSG00000046774,MAGEC2
ENSG00000050730.16,44.8171073247817,1.12961394470726,0.357265466081986,3.16183357181251,0.0015677914002382,0.0421542664323037,ENSG00000050730,TNIP3
ENSG00000053438.11,177.350522538036,1.36904287803315,0.354644757695466,3.8603217679838,0.0001132378122349,0.0077255838713344,ENSG00000053438,NNAT
ENSG00000056998.20,2222.38825709387,1.3433624110268,0.349981772263187,3.83837821707067,0.000123849613774,0.0081725564984768,ENSG00000056998,GYG2
ENSG00000057149.16,12.4109422914656,4.79071499608495,1.13252745726692,4.23010935880194,2.3357773251485e-05,0.0027292964202667,ENSG00000057149,SERPINB3
ENSG00000058335.16,211.862502462005,-1.1610245881001,0.322911032807132,-3.59549371233022,0.000323776948939,0.0156468031847508,ENSG00000058335,RASGRF1
ENSG00000060566.14,3.8778191965306,1.34774397946357,0.415572207454125,3.24310421940896,0.0011823495312135,0.0352862236718013,ENSG00000060566,CREB3L3
ENSG00000063015.20,42.5548320119144,-1.67619935281861,0.489304099741763,-3.42568017252104,0.0006132620432147,0.0231281648026407,ENSG00000063015,SEZ6
ENSG00000064218.5,67.251416879237,1.09610975803827,0.275087849469295,3.98458078084114,6.75993587932941e-05,0.005527914592892,ENSG00000064218,DMRT3
ENSG00000065325.13,31.0477894144194,1.79578196016973,0.436195036147535,4.11692433740201,3.83962055547921e-05,0.0038392048357283,ENSG00000065325,GLP2R
ENSG00000068976.14,119.559256706197,1.28145318076875,0.311892067229102,4.10864307051275,3.97990619878017e-05,0.0039308701052135,ENSG00000068976,PYGM
ENSG00000069535.14,6662.23872754163,-1.19812460495113,0.341031379549791,-3.51323859561786,0.0004426797638732,0.0189790689809822,ENSG00000069535,MAOB
ENSG00000071991.9,97.225210348787,2.34580544408125,0.635846279010538,3.68926503388781,0.0002249028325297,0.0123249612675695,ENSG00000071991,CDH19
ENSG00000072041.17,113.861265866348,2.55726056781943,0.584440366616837,4.37557142505865,1.21114774244078e-05,0.0016436323890525,ENSG00000072041,SLC6A15
ENSG00000072657.9,58.6709719484145,1.81635445747488,0.464874465533101,3.90719342993372,9.33744015585738e-05,0.0067335054847783,ENSG00000072657,TRHDE
ENSG00000073737.17,134.582520995293,1.07667934790103,0.303516967305334,3.54734484025701,0.0003891348878001,0.0174707473986471,ENSG00000073737,DHRS9
